DC080,DC082,FB026,FB054,FB057,FB103,FB109,FB112,FB113,FB128,FB134,FB144,FB164,FB173,FB187,FB188,FB199,FB200,FB217,FB219,FB244,FB259,FB262,FB294,FB306,FB331,FB340,FB418,FB427,FB443
0.0,0.5951154975577493,0.9466044733022363,0.8502465251232625,0.987735793867897,0.8256898564224643,0.8147658166446179,0.9003952651383424,0.7301598976199231,0.7899671949835975,0.8933941200455904,0.7029473108841936,0.8719735551907442,0.8334825500447649,0.9853982905088888,0.9853096911858147,0.8292113573028396,0.9853982941593178,0.9000568450312647,0.9242739734958909,0.6682972004891606,0.5244566860055092,0.6888053910818874,0.8258568390498932,0.8053041026520515,0.9852150911290547,0.8009080303178108,0.8872637549055024,0.8875890494150722,0.7752706325811901
0.5951154975577493,0.0,0.8656577865657787,0.9263404926340496,0.9307426930742694,0.80816312877553,0.7991174899558745,0.8599164070041794,0.7156822004887697,0.8021938802193881,0.7467611113663887,0.6234916376508364,0.8270422086478895,0.6845294315470564,0.9933555983388994,0.9932669986533997,0.6319523552071465,0.9933556,0.8749211812381774,0.9318373034081346,0.8422859157714082,0.7980130899006541,0.7253119137344042,0.8020670098966494,0.6559292655929272,0.9721786944357389,0.7481939125903045,0.7816194999999997,0.7601449880072497,0.7313266268673374
0.9466044733022363,0.8656577865657787,0.0,0.9410443941044395,0.7450428745042875,0.7787621331856797,0.9131058956552947,0.8534189073290545,0.9247684736689658,0.9291341929134193,0.8444728455654957,0.8595032140496787,0.9467713026614348,0.8495169150483085,1.0,1.0,0.9022935146559727,1.0,0.9595030939254641,0.9590901020454949,0.9809706019029398,0.98357899917895,0.9120794043960299,0.9692294015385298,0.8691399869139985,0.9788040957608193,0.9465948026702599,0.7535143999999997,0.8254117912705896,0.9655112034488799
0.8502465251232625,0.9263404926340496,0.9410443941044395,0.0,0.9945620994562101,0.8815932177610173,0.7911667895583396,0.8934925053253744,0.7996587298805553,0.9338055933805592,0.9043979665392882,0.8392052160794786,0.8789430060528491,0.9522821047717899,0.9962114990528748,0.9961226992245398,0.9419915087012739,0.9962115,0.7739592660938904,0.9338726033063702,0.6694483330551668,0.7373142868657149,0.8657516067124197,0.7747804112609794,0.8639297863929782,0.9896070979214197,0.9661536016923199,0.932461,0.927493296374665,0.7660151233984871
0.987735793867897,0.9307426930742694,0.7450428745042875,0.9945620994562101,0.0,0.9667781049832843,0.9531493976574701,0.98235580088221,0.9576419851746948,0.98520179852018,0.8377039431963803,0.9134151086584891,0.9318884034055797,0.9486762051323793,1.0,1.0,0.9408699088695134,1.0,0.9813015971952395,0.998287700085615,0.9990730000927,0.995100899755045,1.0,0.9979537001023149,0.9753569975356998,0.9940276988055398,0.9834432008278399,0.6865241999999999,0.7510845875542295,0.9943171005682897
0.8256898564224643,0.80816312877553,0.7787621331856797,0.8815932177610173,0.9667781049832843,0.0,0.8370528325894344,0.7406049778185071,0.777464577746458,0.8011326298301054,0.5597461559746152,0.8546537508711869,0.8441022467693262,0.8503849523652667,1.0,1.0,0.8330899667640133,0.9999385000153751,0.7314860268513974,0.9041830287450916,0.9163908292632091,0.850656629868674,0.8489111453266563,0.7377707786687663,0.7811626328256054,0.9854284007285801,0.8608128417561477,0.8441612389596902,0.8342567331486529,0.7150147997448202
0.8147658166446179,0.7991174899558745,0.9131058956552947,0.7911667895583396,0.9531493976574701,0.8370528325894344,0.0,0.784711121528888,0.6171774851532454,0.9029745951487295,0.8391945517583654,0.6788197481770382,0.7744947225505279,0.841707023743946,0.9997560999512198,0.999568299935245,0.7638806472238703,0.9997561000121948,0.7773260777326081,0.8303496169650387,0.7600721359891798,0.8259683000000002,0.7222150277784972,0.7436342256365773,0.7264167863208393,0.9464932919739941,0.8067917193208286,0.7913481104325945,0.7631419999999997,0.8003974299403858
0.9003952651383424,0.8599164070041794,0.8534189073290545,0.8934925053253744,0.98235580088221,0.7406049778185071,0.784711121528888,0.0,0.8282409656481924,0.9574774021261299,0.7972710594542116,0.828467242883189,0.5132119973576007,0.8863790284052425,0.9955432995543299,0.99597659979883,0.809945157016453,0.964453105332034,0.8823887000000005,0.9156598168680364,0.9206525198368699,0.917727608227239,0.847711030457794,0.878251724349655,0.7299875135006245,0.8747915937395797,0.8339647332070537,0.7992227301165903,0.7467309253269077,0.9181494204626449
0.7301598976199231,0.7156822004887697,0.9247684736689658,0.7996587298805553,0.9576419851746948,0.777464577746458,0.6171774851532454,0.8282409656481924,0.0,0.8436892452912353,0.7791186674711998,0.7092105563815831,0.8046439609287919,0.7692757653913641,1.0,0.9995841998128899,0.7514747751474774,1.0,0.8383080353232139,0.9253130850626164,0.7651864647779694,0.7829249348774803,0.7671575534315105,0.7052262410452474,0.7747827211739523,0.9713612871125794,0.7941126588225319,0.8073335518333877,0.8086294425888322,0.7400246610036988
0.7899671949835975,0.8021938802193881,0.9291341929134193,0.9338055933805592,0.98520179852018,0.8011326298301054,0.9029745951487295,0.9574774021261299,0.8436892452912353,0.0,0.8241048384366934,0.8737319126268083,0.9380643030967849,0.8792578120742189,0.873702068425517,0.8741351748270351,0.875761218635817,0.8725780999999999,0.9294426894164032,0.9585858020707095,0.8642441135755888,0.9140075957003795,0.8077810096109493,0.8687855065607245,0.8688905868890586,0.9790539958107992,0.8940155052992246,0.8415478999999996,0.8801105940055295,0.8317674168232584
