Sample ID,Alpha Diversity (Shannon Index)
DC080,3.3889210383367083
DC082,3.6044275289105556
FB026,1.7029435708933305
FB054,2.293671594453953
FB057,1.5403784628393407
FB103,3.3307876535152703
FB109,3.575772442460789
FB112,3.159173034021843
FB113,3.8292616813304683
FB128,3.4968581511713586
FB134,3.518771557407358
FB144,3.5213679668345335
FB164,2.9330633655331546
FB173,2.775086277425568
FB187,1.7556280695299264
FB188,1.7095131513354649
FB199,3.4653132635462014
FB200,2.3838383596299497
FB217,2.449853364282303
FB219,2.6070931810297546
FB244,2.9776055534047057
FB259,2.7831687869033677
FB262,2.7726654768064534
FB294,3.409984147166022
FB306,3.425544480220416
FB331,2.0096662142754202
FB340,3.3608705371069094
FB418,3.1357250551580984
FB427,3.321771041275317
FB443,3.5608654649881357
