DC045,DC051,DC052,DC055,DC058,DC059,DC060,DC099,FB004,FB082,FB087,FB105,FB128,FB151,FB170,FB177,FB246,FB247,FB255,FB259,FB275,FB285,FB319,FB340,FB353,FB380,FB411,FB430,FB437,FB446
0.0,0.33211450036564966,0.5080604491939549,0.860948834762791,0.8409832477050254,0.8943066158540077,0.8887879222424154,0.9070763232309191,0.952469311882672,0.9367011094948334,0.8970740999999998,0.983942304014424,0.8693841261231744,0.8510630670216197,0.8516087741956128,0.8505104298979136,0.7673055698083293,0.8985959101404091,0.7443812511237495,0.9339323165169209,0.8987978050601099,0.8711470579838239,0.8595177210723421,0.8400260559908802,0.8760189371943189,0.834302074564066,0.8136553838550774,0.7560938853671394,0.9791416041716792,0.8386015484195356
0.33211450036564966,0.0,0.41246644124664417,0.7842826107858697,0.7547553245244673,0.8665061933253102,0.8532633999999997,0.8920016053999198,0.9513687024315648,0.9295228964761448,0.9241725848345169,0.9783285010835747,0.8359398999999993,0.8796791300802176,0.8216779534966137,0.8978823999999999,0.8041882195811783,0.8640474864047484,0.7583683999999998,0.8783855060807247,0.8046163706924565,0.8700133324966668,0.8536064926803243,0.8144911278263313,0.7716362228363777,0.808179747955063,0.7890135527466118,0.7209592418561132,0.9873374,0.7573579242642078
0.5080604491939549,0.41246644124664417,0.0,0.8408238761235817,0.8273926827392685,0.8921428730357184,0.8881216776243355,0.9267531890129783,0.9701221955183295,0.9573457893364472,0.9630141852056742,0.9857740978661147,0.8897527779505553,0.9401065029946746,0.8890272110972786,0.9482273896454777,0.8852655885265589,0.9473120841936249,0.6771187354237471,0.9689601953440291,0.8564978497742474,0.9494861025256944,0.9195653798913448,0.7971408898570441,0.759984175998418,0.9229622038518898,0.8983349050832543,0.6401075820053792,0.9885423977084794,0.7373353737335377
0.860948834762791,0.7842826107858697,0.8408238761235817,0.0,0.3469674326516285,0.476514747651475,0.5237207761860387,0.9226069999999998,0.9671997999999999,0.9117998911799892,0.951691587922897,0.9793813000000001,0.8922500946125047,0.8944312211137557,0.8852626286843429,0.8875462943773149,0.8928717053564149,0.8932443839866578,0.8612118930605948,0.9059797000000003,0.8129592625918524,0.8551017289796542,0.8863245886324591,0.7608174239182577,0.8839422058028897,0.8942055211588958,0.8607655278468945,0.7759706224029371,0.9648805982440297,0.8405041079747941
0.8409832477050254,0.7547553245244673,0.8273926827392685,0.3469674326516285,0.0,0.5526412776320642,0.5778185,0.8921670053916498,0.9440102027994897,0.8913346945667349,0.9190689838137971,0.9793813010309351,0.8805847999999998,0.8529206367698414,0.873603937918819,0.8456198000000001,0.8540976145902383,0.8153435815343588,0.8451069000000002,0.8725757063712146,0.7818179672726944,0.8028681492829632,0.8219903910995195,0.7774159333876105,0.852453514754648,0.8354784411303894,0.8322394419401393,0.7952028307195752,0.9586741000000001,0.7890951210904875
0.8943066158540077,0.8665061933253102,0.8921428730357184,0.476514747651475,0.5526412776320642,0.0,0.2397820859673129,0.9371801937180194,0.96726009672601,0.8923476784695357,0.9094984683244639,0.9929373992937398,0.9241616886242533,0.8568188143181187,0.9452050082192489,0.8715855807378372,0.8911033945551697,0.9025790756447692,0.8997814849672228,0.9097683909768396,0.8230464469139345,0.8858319114168091,0.902367480473496,0.7878528000000005,0.855319692765985,0.9031570096842995,0.8596433140356685,0.7953030999999998,0.9741631961244795,0.8307099915354998
0.8887879222424154,0.8532633999999997,0.8881216776243355,0.5237207761860387,0.5778185,0.2397820859673129,0.0,0.93139879656994,0.9674084983704248,0.905288785793318,0.916723775017133,0.9929855996492801,0.9238674923867488,0.8681989197701614,0.9375897124820575,0.8740806874080688,0.8960521999999993,0.8999843799968756,0.918647591864759,0.9097524954876247,0.848576662144165,0.9093742135938683,0.9066743860011577,0.8285048085747599,0.8723816,0.902011614698258,0.8633931204910321,0.8326125083693745,0.9701051970105194,0.8462191999999995
0.9070763232309191,0.8920016053999198,0.9267531890129783,0.9226069999999998,0.8921670053916498,0.9371801937180194,0.93139879656994,0.0,0.33684549999999996,0.9126075912607594,0.7925866481466621,0.9987721000000002,0.9326075966303796,0.7959448408110315,0.7138457715385573,0.8028815901440797,0.8234965088251746,0.8369112755366913,0.92367339618367,0.7528186000000001,0.8731511746302352,0.852582029483594,0.8285042828504281,0.9653602034639797,0.7600315119984246,0.7092644581471084,0.9118626176274772,0.9503859049614095,0.7890711894535596,0.8572685071365749
0.952469311882672,0.9513687024315648,0.9701221955183295,0.9671997999999999,0.9440102027994897,0.96726009672601,0.9674084983704248,0.33684549999999996,0.0,0.9388232938823292,0.794962548740637,0.9987721,0.9404427970221397,0.7997911400417718,0.710085572478607,0.8052046902602348,0.8494784075260795,0.8610781791617267,0.9747284987364249,0.7702013999999999,0.8921701784340357,0.8330283333943331,0.8551127855112779,0.9798788020121199,0.8075712096214394,0.7298010540397891,0.9637283072543388,0.9724316027568399,0.7974205898710295,0.9195469040226545
0.9367011094948334,0.9295228964761448,0.9573457893364472,0.9117998911799892,0.8913346945667349,0.8923476784695357,0.905288785793318,0.9126075912607594,0.9388232938823292,0.0,0.8235381382383484,1.0,0.7859598678939801,0.7573366242663376,0.9196519120522134,0.7431099614664941,0.9029262951463148,0.7806690451672611,0.8549429782414465,0.8488762848876282,0.7795844338753304,0.8772044122795586,0.9136548827309768,0.8901249000000002,0.87072239353612,0.8825111117488887,0.9637735036226492,0.8327129999999997,0.9405653910848086,0.9009650950482547
