Sample ID,Alpha Diversity (Shannon Index)
DC045,2.747897333070352
DC051,3.2462843912528894
DC052,2.916366254162396
DC055,3.479978719028077
DC058,3.8299440289878595
DC059,3.5460114526370727
DC060,3.4128122323479353
DC099,3.110932420907263
FB004,2.3069890802189468
FB082,3.013540397263029
FB087,2.51451340021025
FB105,0.8604534588384471
FB128,3.4968581511713586
FB151,2.9765824749131076
FB170,2.720168564163103
FB177,2.828847822211618
FB246,3.099100364338798
FB247,3.1148643898088726
FB255,2.65984047568759
FB259,2.7831687869033677
FB275,3.5520756822192787
FB285,2.5952720403418175
FB319,2.8173150675406076
FB340,3.3608705371069094
FB353,3.017856655099884
FB380,3.0213957587895637
FB411,2.709079286022835
FB430,3.3863350374903454
FB437,1.5789560209249522
FB446,3.303342416068152
