Sample ID,Alpha Diversity (Shannon Index)
DC020,2.1227237198530338
DC054,3.234745559405818
DC061,2.7188204115706602
DC086,2.6827548184631587
FB003,2.4611770321549664
FB053,0.6780982129374733
FB057,1.5403784628393407
FB158,3.2149541723724635
FB167,2.9365164692783337
FB180,3.4106685121772866
FB223,3.4478921052288145
FB240,3.3389065003212917
FB246,3.099100364338798
FB277,3.510594053359588
FB280,3.318415040818563
FB300,2.8348896368429837
FB318,3.0366125518236986
FB321,3.372268303019418
FB325,2.4629957002655014
FB341,3.2029256526830627
FB370,1.0761119942177875
FB371,2.85577921589997
FB385,3.1495198885333235
FB404,2.947717058489
FB408,2.5070206761204976
FB412,3.142241895852618
FB414,3.3747261545754546
FB422,3.363516168991374
FB438,3.3376703495438176
FB444,3.4011130368834728
