Sample ID,Alpha Diversity (Shannon Index)
DC028,3.28454351465901
DC036,2.6380410417722557
DC037,2.857649596475144
DC040,2.452060149761877
DC087,2.693590536790078
DC088,3.3350324689129276
DC099,3.110932420907263
FB043,2.931556615322785
FB062,0.8220181629482923
FB074,3.2621866142786042
FB103,3.3307876535152703
FB126,3.533027433969557
FB134,3.518771557407358
FB140,2.9496649790494303
FB146,3.747785608538017
FB196,2.2396555251866928
FB199,3.4653132635462014
FB211,0.9055292447812674
FB266,3.5549203038914965
FB302,3.4358878215604802
FB312,2.457905296189212
FB336,2.0118649918730065
FB376,3.2373981179922557
FB389,3.4280801097508693
FB399,2.7003294336901917
FB400,2.7909512139823938
FB418,3.1357250551580984
FB427,3.321771041275317
FB442,3.219896240017282
FB443,3.5608654649881357
