DC028,DC036,DC037,DC040,DC087,DC088,DC099,FB043,FB062,FB074,FB103,FB126,FB134,FB140,FB146,FB196,FB199,FB211,FB266,FB302,FB312,FB336,FB376,FB389,FB399,FB400,FB418,FB427,FB442,FB443
0.0,0.7959501999999999,0.7272640863632047,0.8256294738444216,0.76319053552142,0.8358625082068744,0.8844774000000003,0.8952399,0.9833925991696302,0.8554961072251949,0.8404632319073534,0.8858474828771229,0.7962099388629821,0.7626727762672777,0.7398647609797141,0.9612906941936042,0.75185844962831,0.9863232006838399,0.7626565643984847,0.7734091113295445,0.9689159953373995,0.9670431016478448,0.7974663101266842,0.798330959666192,0.949677989935598,0.9411609970580498,0.8151075092446243,0.7772398000000005,0.8880701055964944,0.8925641161153822
0.7959501999999999,0.0,0.6061522803076139,0.2707959906193987,0.77284513407323,0.8909609054519547,0.6220326000000004,0.7161872999999999,0.99016879950844,0.9302651034867448,0.857944128411174,0.8327205749080864,0.8738560621568188,0.7067902706790269,0.77472326620849,0.7838506675776004,0.8642764271447142,0.9778530011073499,0.7642865646429851,0.7076943146152843,0.8190540728581107,0.8619489069025547,0.8610691069465444,0.800543360108672,0.7636040527208107,0.7635085881754293,0.8809234059538295,0.8587424999999999,0.5375124231243789,0.9248124112781384
0.7272640863632047,0.6061522803076139,0.0,0.626823225364645,0.7591452240854775,0.8781462999999999,0.8165614908280746,0.8445377922268895,0.9477773947777395,0.9101684000000001,0.8398656240201567,0.818231563646313,0.7797346229071177,0.78500566775085,0.7703207540641511,0.8967242793448558,0.764558535316219,0.9694579999999999,0.7140944428188888,0.7631414000000002,0.9485921897184377,0.9713243,0.7200749000000003,0.8477280619320158,0.9007610751902695,0.8956073895607393,0.7551412000000003,0.7245855862292795,0.7937078,0.9275008072499192
0.8256294738444216,0.2707959906193987,0.626823225364645,0.0,0.7095284,0.8792886879288687,0.6834340525151079,0.7169102575365393,0.99982809996562,0.9211098921109893,0.8579797071010145,0.8556223566867072,0.9050772572847664,0.667319816829954,0.7606227281868185,0.737664621299387,0.8887019055649047,0.9550592955059294,0.7692273307681996,0.6905033690503369,0.8006315401894624,0.8765328876532887,0.8931184893118492,0.8089572331350315,0.7500868125303848,0.7550628510125704,0.8699770869977087,0.8532310779846618,0.6310497631049761,0.9084326000000004
0.76319053552142,0.77284513407323,0.7591452240854775,0.7095284,0.0,0.7964830407033918,0.7832290325156454,0.9274271108859331,0.99778840022116,0.8812229237554154,0.8681814461364937,0.9575525,0.7329097599364639,0.6994610150269491,0.6960414999999996,0.9549933999999999,0.8330046584483692,0.8898771220245756,0.8034718999999998,0.695585260882948,0.9385268999999996,0.9490708101858379,0.9173156165368764,0.8985242949262151,0.9162859958142998,0.8993696100630388,0.7387493522501296,0.6760589485911579,0.8735271252945747,0.924622122613363
0.8358625082068744,0.8909609054519547,0.8781462999999999,0.8792886879288687,0.7964830407033918,0.0,0.8224853088757347,0.7792375110381242,0.9870893,0.793502520649748,0.8954754261311432,0.8728304872830488,0.7806664451666111,0.862251793112589,0.6229479622947963,0.8436785843678585,0.7562536609365843,0.9001098099890191,0.8376629837662978,0.7967245203275477,0.9019153901915391,0.9200609079939092,0.8530611146938885,0.7980160697024103,0.9054777858216682,0.8850048000000003,0.7689565231043471,0.7758763112061844,0.7696378230362176,0.8296712340657529
0.8844774000000003,0.6220326000000004,0.8165614908280746,0.6834340525151079,0.7832290325156454,0.8224853088757347,0.0,0.8638663,0.9976525998826298,0.8920367053981646,0.7328529534294101,0.8019184702877709,0.8704531611359484,0.8677548867754883,0.801883570282535,0.809969271495391,0.9148201170359764,0.9301786034910697,0.8888879833331976,0.8437029078148549,0.8825317823797673,0.8370655081467245,0.9178371041081445,0.8420175684035139,0.7600287520057506,0.7623404881170245,0.8448598077570093,0.8380494999999999,0.6352244182387796,0.8663917200412425
0.8952399,0.7161872999999999,0.8445377922268895,0.7169102575365393,0.9274271108859331,0.7792375110381242,0.8638663,0.0,0.9937879996894001,0.8366126081693693,0.8056588388682326,0.6690421503563231,0.8100754430226331,0.7150829715082964,0.7209898581484787,0.677961051694158,0.8101211379757723,0.9851196007440199,0.7785260667789097,0.7355131132243441,0.7007871551180733,0.8799156060042199,0.7874403106279844,0.7389133477826696,0.6764578352915672,0.6839446841972343,0.8171044091447797,0.8168084000000003,0.6571055171447245,0.7747134337929849
0.9833925991696302,0.99016879950844,0.9477773947777395,0.99982809996562,0.99778840022116,0.9870893,0.9976525998826298,0.9937879996894001,0.0,1.0,0.9931372010294198,1.0,0.9909185968215088,0.9941994991299249,0.9471525894305178,0.9976115995223199,0.9171866124220082,1.0,0.9975515995103198,1.0,1.0,1.0,0.9997078,0.9994758998689749,0.9955958988989748,0.9975576997557699,0.9935324,0.9929898996494949,0.9964864,0.9991823000817699
0.8554961072251949,0.9302651034867448,0.9101684000000001,0.9211098921109893,0.8812229237554154,0.793502520649748,0.8920367053981646,0.8366126081693693,1.0,0.0,0.8974434256391438,0.7720455772045581,0.8842765710691428,0.7997678899883945,0.7601710760171078,0.8009713800971382,0.7955578511105372,0.9403659059634094,0.8095447809544785,0.7196363280363675,0.8487570848757086,0.9478619052138095,0.8658779134122089,0.8342757751413664,0.8570752785612921,0.8237900999999999,0.8307933169206684,0.8017780099111,0.8156122184387783,0.7824992435001515
0.8404632319073534,0.857944128411174,0.8398656240201567,0.8579797071010145,0.8681814461364937,0.8954754261311432,0.7328529534294101,0.8056588388682326,0.9931372010294198,0.8974434256391438,0.0,0.6863479156826041,0.5597461559746152,0.7875738212426171,0.83797280810136,0.8973937051303149,0.8330899667640133,0.9812322046919493,0.7336177133191143,0.7516289620927593,0.8863970056801495,0.9858740035314995,0.8336740415814897,0.8132807000000005,0.8127863,0.7714684342797348,0.8441612389596902,0.8342567331486529,0.8194642451339389,0.7150147997448202
