DC057,DC064,DC073,DC074,FB003,FB009,FB018,FB036,FB043,FB054,FB076,FB077,FB082,FB169,FB186,FB187,FB190,FB225,FB237,FB247,FB262,FB275,FB290,FB306,FB313,FB319,FB336,FB363,FB390,FB402
0.0,0.5516937896612424,0.8553827927691396,0.7324069866203494,0.7604381239561878,0.7517932372310144,0.9835013032997394,0.7898672315199151,0.7582082362687647,0.882121711787829,0.9620397056940441,0.8878379056081045,0.8769979061501044,0.8951891947594602,0.99862440006878,0.9999295999964801,0.7858165107091742,0.8141768557469424,0.7006437999999996,0.7823840999999998,0.756549460862635,0.7572342878617142,0.6846016946194915,0.7629228237077177,0.6869139782715055,0.702663214866839,0.9218310156337972,0.8138049093097547,0.8147458463135386,0.6954207152289644
0.5516937896612424,0.0,0.8460289769043461,0.7296070594410583,0.6718868999999997,0.7455735127213242,0.9908514009148599,0.8269243086537845,0.6805401159729942,0.8191863,0.8594849070257548,0.8663642933182147,0.8884479944223993,0.8960471844070778,0.9986546999327351,0.9994621999193304,0.8022715901135792,0.7793160441367903,0.7227940722794068,0.7273993727399368,0.6716869492469574,0.7324906598735981,0.6165214766957043,0.7609882999999995,0.7571087364336893,0.8625530931276545,0.9721956027804397,0.8468794923439747,0.7903967314404897,0.8651985932599298
0.8553827927691396,0.8460289769043461,0.0,0.518280307312123,0.8499905624976405,0.8256880651376127,0.9996702999505449,0.9189364837872964,0.8671706734341349,0.9385315846328967,0.9701872940374588,0.8681287604386281,0.9097365729209721,0.6290697516279004,0.9993127997938398,1.0,0.8772012631603789,0.8024149901207497,0.8224909378718281,0.8950093632532771,0.8429627842962782,0.7943714177485671,0.8730288936514446,0.8545911636477912,0.7733911773391178,0.8470690541207161,0.9416856912528536,0.7733370320011094,0.7347934734793475,0.8020411406123424
0.7324069866203494,0.7296070594410583,0.518280307312123,0.0,0.766761741690435,0.7921207584241516,0.997790499668575,0.695165939033188,0.6297448259489651,0.804689251172313,0.9496826899365376,0.8828793648638096,0.9010733703220112,0.6421113568445426,0.9992752997825899,1.0,0.7101363130408936,0.7750176887508841,0.6580711803249126,0.7501048125366846,0.7328272732827275,0.6782868713147484,0.7073407853670391,0.759849139962285,0.7562418756241873,0.8392035517610653,0.9192868878930335,0.77884103365231,0.6796814679681473,0.8585636575690976
0.7604381239561878,0.6718868999999997,0.8499905624976405,0.766761741690435,0.0,0.7730446886522345,0.9520466000000001,0.7659411882970594,0.7345110867255542,0.7194332719433271,0.9283302964165147,0.9228028884204333,0.9299465894919884,0.9350863837715958,0.999395299909295,1.0,0.8119219717882957,0.8728188127181187,0.7880470576094113,0.7947142589428517,0.7077873146106343,0.8308756577189144,0.7165906283409368,0.7989122798912281,0.8413747079312649,0.8784828817724322,0.8571414999999999,0.873002880950432,0.8815981059200949,0.9105388865808329
0.7517932372310144,0.7455735127213242,0.8256880651376127,0.7921207584241516,0.7730446886522345,0.0,1.0,0.8558147000000002,0.8229155,0.7480466874023345,0.9978492,0.9102136910213691,0.9439230943923095,0.848322069664414,0.9993569999356999,1.0,0.8193028819302881,0.7883483317477503,0.7835776675366501,0.7412041611806238,0.7813072218692775,0.8121126624225322,0.7498661375200792,0.7820206891010345,0.7487639251236078,0.6718798671879863,0.97432420128379,0.7384065738406574,0.7827801217219876,0.8775825877582593
0.9835013032997394,0.9908514009148599,0.9996702999505449,0.997790499668575,0.9520466000000001,1.0,0.0,0.98904720054764,0.9997687000115649,0.9948513,1.0,0.8579622928981144,0.6558459827922992,0.9991879998782001,0.9801834990091749,0.7319098597864787,0.9252506962625349,0.975539004892199,0.9394657939465794,0.99588709958871,0.9884688017296798,0.9919804987970747,0.9641570071685988,0.9704759,0.9788394031740895,1.0,1.0,1.0,0.9960197005970448,0.9926988996349451
0.7898672315199151,0.8269243086537845,0.9189364837872964,0.695165939033188,0.7659411882970594,0.8558147000000002,0.98904720054764,0.0,0.6534519000000002,0.8558029927901498,0.9627096,0.94276939427694,0.920891192089119,0.8876919775383956,0.9993952999395299,1.0,0.8601765860176589,0.8738501189224819,0.7352867602930139,0.6454588468188271,0.7192116280788377,0.6710680342136068,0.6874725468791183,0.7865820893291043,0.9013544098645587,0.8954420895442089,0.8032267098386645,0.9165526916552692,0.8894099110590089,0.9501766950176693
0.7582082362687647,0.6805401159729942,0.8671706734341349,0.6297448259489651,0.7345110867255542,0.8229155,0.9997687000115649,0.6534519000000002,0.0,0.7187548859377441,0.9116026000000002,0.9110611911061192,0.7903361790336177,0.8821817764363556,0.9993569999356999,1.0,0.8319366831936684,0.7975583303662502,0.6630457494568622,0.6124398418659762,0.6180983381901666,0.6303888260777648,0.5495079675738045,0.7454539872726991,0.8078954192104582,0.8721408872140888,0.8799156060042199,0.8055048805504877,0.8395593160440683,0.9304981930498198
0.882121711787829,0.8191863,0.9385315846328967,0.804689251172313,0.7194332719433271,0.7480466874023345,0.9948513,0.8558029927901498,0.7187548859377441,0.0,0.9979393998969702,0.9524764928714742,0.8348133752220062,0.905761276440319,0.9955684993352749,0.9962114990528748,0.8217092732563916,0.8707318129268186,0.8025839605167924,0.7209345441869089,0.8657516067124197,0.8041029510257383,0.8061953193804685,0.8639297863929782,0.8766928061653598,0.8474529771179468,0.9838091,0.7823677673551649,0.8175469091226548,0.9515482927322441
