Sample ID,Alpha Diversity (Shannon Index)
DC077,3.6513416585570457
DC079,3.5265073134188336
DC090,3.4113117184854556
DC091,3.6325315528124187
DC092,3.6585987439623713
FB014,2.669814449749615
FB031,2.686337358302933
FB054,2.293671594453953
FB076,1.0166355974062695
FB079,3.652246474854635
FB103,3.3307876535152703
FB196,2.2396555251866928
FB201,3.2944615539409723
FB224,2.7755870363745814
FB227,3.2910832480902066
FB232,2.9087521545992017
FB244,2.9776055534047057
FB299,2.573506474416011
FB300,2.8348896368429837
FB318,3.0366125518236986
FB331,2.0096662142754202
FB347,2.6741274466206795
FB369,3.1094979873804696
FB376,3.2373981179922557
FB384,3.036679720395261
FB411,2.709079286022835
FB418,3.1357250551580984
FB427,3.321771041275317
FB433,3.028491887815167
FB446,3.303342416068152
