DC002,DC010,DC089,FB026,FB043,FB088,FB091,FB114,FB116,FB124,FB143,FB150,FB156,FB165,FB180,FB190,FB206,FB223,FB262,FB290,FB300,FB301,FB318,FB332,FB380,FB386,FB391,FB402,FB404,FB442
0.0,0.25837994832401023,0.8225822000000003,0.8385869999999999,0.8815123059243845,0.8316752084162394,0.8811429940571497,0.7087933145603338,0.8092222904611146,0.9261626110756086,0.8702537870253787,0.7930865206913474,0.4972124508362646,0.8243550526934844,0.8991724151241377,0.8447975922398802,0.8535528292894345,0.9014086901408692,0.9087339136899134,0.889920422015916,0.8766899246620151,0.6069919589512063,0.9121832175633564,0.9278592108211182,0.913851021537245,0.7981431697214759,0.8418973158102684,0.877220493861025,0.9027743048612846,0.8684383131561685
0.25837994832401023,0.0,0.8832375116762491,0.8386620161337984,0.8806929178960625,0.871007319348902,0.8834217058289147,0.7638570354214445,0.7828868108556594,0.9187351203162201,0.8790766000000001,0.8286255342748929,0.4543414182634321,0.8202273719090517,0.9012029246992689,0.8032323098383843,0.897152430854271,0.8971784999999999,0.9201206199698448,0.8883655334903408,0.8813549355935191,0.6076146980963255,0.9077069276879216,0.9271726182068456,0.919259728259095,0.8083403904170201,0.8629034274193148,0.9134338043283102,0.921352311797153,0.8683674263265143
0.8225822000000003,0.8832375116762491,0.0,0.8155670815567081,0.8759441937972099,0.7943408897170444,0.9330499899574984,0.6516745825837285,0.8793594819039223,0.9289143035542848,0.8535673707134741,0.7142022999999996,0.8025500394899927,0.8104824379035128,0.8971124051443792,0.9087729863159483,0.7623322237667776,0.8592663718532743,0.8168454091577297,0.881835711816429,0.8484755151524483,0.7851919107404051,0.8739238126076186,0.8198669090066544,0.8899548165067774,0.7453183363295844,0.8782169999999999,0.8253179737976961,0.8197783909889197,0.8173753999999996
0.8385869999999999,0.8386620161337984,0.8155670815567081,0.0,0.95412459770623,0.7576565878828292,0.9320011898001784,0.8094765904738301,0.9069363860404582,0.96013540199323,0.9581140916228182,0.8545063000000002,0.8206539358692128,0.8970128205974359,0.9589665020516751,0.6301345445201814,0.7863046213695379,0.9479994895998978,0.9120794043960299,0.9219475078052491,0.9384725061527491,0.7347607132619646,0.9573014042698593,0.9006292049685399,0.954896106765584,0.7498565374641348,0.8981030000000001,0.7370032605504891,0.9194323959716197,0.9559686999999999
0.8815123059243845,0.8806929178960625,0.8759441937972099,0.95412459770623,0.0,0.8916513999999999,0.5490118549011854,0.7564834999999994,0.8244316824431682,0.7658966234103377,0.9245164886774732,0.8423921078803946,0.8209098447725384,0.7044063738984062,0.7072428292757168,0.8319366831936684,0.9586812061978192,0.7438492615773891,0.6180983381901666,0.5495079675738045,0.8201254269811858,0.8169187183081285,0.7548387367741896,0.5642245435775456,0.5282524943495011,0.8053607610721523,0.9178482041075902,0.9304981930498198,0.8436598000000001,0.6571055171447245
0.8316752084162394,0.871007319348902,0.7943408897170444,0.7576565878828292,0.8916513999999999,0.0,0.99891179989118,0.7463095999999996,0.9223617922361791,0.9722098027790197,0.6097566414634963,0.5173818241309088,0.8084063478984128,0.794878051280487,0.9571629042837095,0.8125586812558682,0.6325951551107268,0.9062998859449828,0.8282530171746982,0.8296371255544311,0.859483221077517,0.8114396188560382,0.9184277122358429,0.8663515133648486,0.9197570160485968,0.847415269483054,0.7820098108995096,0.7600879760087974,0.854258,0.8534164073291796
0.8811429940571497,0.8834217058289147,0.9330499899574984,0.9320011898001784,0.5490118549011854,0.99891179989118,0.0,0.9443178944317892,0.804076960815392,0.8463388,0.9924394981098744,0.966087298304365,0.901327914800813,0.8442808233578764,0.8038388000000002,0.8340979668195933,0.9952571002371449,0.7957930489482621,0.6988124,0.687759815612009,0.9745245012737752,0.8442790000000004,0.9441181027940946,0.6284288000000001,0.5345464465453554,0.787713436314031,0.9939520996976049,0.9623222924644587,0.9133371913337193,0.6363337818166892
0.7087933145603338,0.7638570354214445,0.6516745825837285,0.8094765904738301,0.7564834999999994,0.7463095999999996,0.9443178944317892,0.0,0.8518144851814484,0.8722005127799486,0.8161568724235309,0.6334353183282334,0.6556183860954032,0.5377244155688958,0.8395157160484285,0.8802448880244886,0.7909653313552002,0.7528929629339445,0.7538530246146974,0.7586482362027643,0.8112614283107858,0.6979750302024974,0.8366076245088562,0.8619130138086991,0.8516693296661342,0.6991540398308083,0.7943266102836694,0.8367174836717483,0.8212087999999996,0.7352878132356091
0.8092222904611146,0.7828868108556594,0.8793594819039223,0.9069363860404582,0.8244316824431682,0.9223617922361791,0.804076960815392,0.8518144851814484,0.0,0.8848537,0.8882502720625677,0.8594385929719293,0.7483536377469543,0.8017113297433006,0.7910951999999999,0.7933982586796515,0.9307034034648299,0.7870550467637616,0.8259200000000001,0.7792130110393495,0.90788320460584,0.6746265999999993,0.9055642047217896,0.8840553999999997,0.8576746142325387,0.8475612542683765,0.9309667965483396,0.5375693075138618,0.5547979554797956,0.808877190443859
0.9261626110756086,0.9187351203162201,0.9289143035542848,0.96013540199323,0.7658966234103377,0.9722098027790197,0.8463388,0.8722005127799486,0.8848537,0.0,0.9638431981921598,0.9217126117431079,0.9328912234880719,0.7876159743344093,0.48076410384717905,0.8620088999999999,0.9811438047140486,0.7076454853822747,0.7930857413828517,0.7978042505489373,0.9026261243434689,0.8422282315543539,0.8635069341232663,0.75498664900267,0.7391419782574068,0.8733111873311192,0.9826942025958697,0.9460100999999997,0.8791499120850087,0.9003355149496726
