Sample ID,Alpha Diversity (Shannon Index)
DC026,3.4281400010579213
DC032,3.060486960419364
DC048,2.8589793230910137
DC049,3.228916434214386
DC099,3.110932420907263
FB004,2.3069890802189468
FB026,1.7029435708933305
FB048,2.3889447171408627
FB054,2.293671594453953
FB057,1.5403784628393407
FB074,3.2621866142786042
FB088,3.1803287586177715
FB109,3.575772442460789
FB110,3.616514068991538
FB121,2.6940455914900716
FB161,2.4080423018584285
FB178,3.2379907707176643
FB200,2.3838383596299497
FB204,1.9560516863874737
FB227,3.2910832480902066
FB232,2.9087521545992017
FB244,2.9776055534047057
FB255,2.65984047568759
FB277,3.510594053359588
FB280,3.318415040818563
FB320,3.248021940842563
FB325,2.4629957002655014
FB353,3.017856655099884
FB394,3.3026068439159926
FB413,2.612836861124934
