DC079,FB015,FB034,FB043,FB091,FB106,FB108,FB137,FB147,FB159,FB166,FB169,FB174,FB176,FB196,FB224,FB232,FB295,FB300,FB311,FB318,FB341,FB351,FB356,FB375,FB385,FB391,FB408,FB412,FB432
0.0,0.7792058220794177,0.8747539438361196,0.8246109526167135,0.922785715442857,0.8886868166969774,0.8147018370596331,0.7641389533096803,0.8399899160010083,0.6154475576828664,0.8767301431444492,0.6590194340980567,0.7509393871712144,0.8129654374069122,0.9062879140568131,0.9142623128606531,0.9070863185827365,0.8222563533230935,0.8223702799333736,0.743065177080447,0.8587456635644511,0.6855201628959682,0.8396267160373279,0.8282550429362389,0.8442717467184755,0.7906250418749915,0.7999384700215351,0.7848497968175914,0.7592457963016811,0.9141817257454821
0.7792058220794177,0.0,0.618166142724921,0.7712203542440708,0.8345676503702948,0.8796252578688402,0.8657353597206081,0.870877119368432,0.7656012062404823,0.7654919179221713,0.8302893745434059,0.7615004046001619,0.8221507733226161,0.8279847483954246,0.8266019393106787,0.7349369072279173,0.9056880717064215,0.825484265096853,0.8694669934733502,0.7499951499990305,0.8754314937715745,0.8552913565874071,0.7711088084435237,0.7017100254275064,0.6637255327451062,0.8015783404735017,0.8524348778652313,0.8571529928576498,0.8348709834870984,0.8136499627299925
0.8747539438361196,0.618166142724921,0.0,0.8203528089823596,0.8641007932050399,0.8701337870133785,0.8519412925970647,0.856595557361777,0.7328096599214489,0.8824187882418786,0.7194446280555372,0.8624580793687115,0.8887335111266486,0.8403819920190997,0.9201290920129093,0.8379880837988082,0.9283132964156647,0.5841443207927842,0.9182072163585568,0.8796506060174696,0.8893529221294157,0.8927426946371346,0.824573273685991,0.7447548,0.8358987082050645,0.5996431799821591,0.9546720045327995,0.9194140161171968,0.9163762125435682,0.9011202049439897
0.8246109526167135,0.7712203542440708,0.8203528089823596,0.0,0.5490118549011854,0.9014041852106279,0.8171315817131581,0.7679402812209014,0.7083439416687882,0.8754045813106869,0.7764294111785293,0.8821817764363556,0.9228291038585442,0.8502735850273585,0.677961051694158,0.8123718718557809,0.8791322879132287,0.6804652999999999,0.8201254269811858,0.7735665000000003,0.7548387367741896,0.8483939848393983,0.769293753858751,0.40473407023670327,0.5691302999999996,0.7444228744422876,0.9178482041075902,0.8543145218528218,0.8315403168459682,0.8704758999999999
0.922785715442857,0.8345676503702948,0.8641007932050399,0.5490118549011854,0.0,0.8530615632653908,0.8842353768470753,0.8688967327758166,0.6580917974275393,0.9167553791888452,0.7470472873523644,0.9205381761614528,0.9322698966134948,0.8579844715968943,0.7084977271244324,0.8793846698461678,0.9142585828517167,0.8321415832141588,0.9745245012737752,0.9316687931668792,0.9441181027940946,0.9612445922489185,0.6342388902716671,0.6038846405826955,0.5962934596293457,0.8314208662841733,0.9939520996976049,0.9801232009938399,0.9676243999999999,0.9928489992849001
0.8886868166969774,0.8796252578688402,0.8701337870133785,0.9014041852106279,0.8530615632653908,0.0,0.9424006856001715,0.8934562213087555,0.8933472626715419,0.9186065755819728,0.5711773571177357,0.9049678667387534,0.9332663933266394,0.91892447973112,0.8368577510573252,0.9506787852036357,0.807273751818438,0.889766883465033,0.9343103999999998,0.9055930858389627,0.9399219,0.9412635853158964,0.8793728577805,0.8456419691283935,0.849256177388426,0.8902668725667183,0.9875410987541096,0.9517913000000002,0.8861451943072592,0.9434725915208888
0.8147018370596331,0.8657353597206081,0.8519412925970647,0.8171315817131581,0.8842353768470753,0.9424006856001715,0.0,0.8645533338616671,0.5928458778537633,0.9181100795275197,0.8647523932376199,0.9328540798562245,0.93405639670282,0.5132149026429808,0.8992033748008439,0.8693833673458423,0.8724056744811353,0.822491182249119,0.8343462082826893,0.7355238735523877,0.8537334073133297,0.8042909608581917,0.8559022567706772,0.8025288703793306,0.843136884313689,0.7818212563642516,0.8519013925950701,0.6534464173276789,0.7314421000000003,0.7042690704269068
0.7641389533096803,0.870877119368432,0.856595557361777,0.7679402812209014,0.8688967327758166,0.8934562213087555,0.8645533338616671,0.0,0.8465126230231065,0.6400814719837056,0.8564890574043766,0.6542618518607223,0.8920081431967428,0.8938979265255184,0.7750388449922312,0.7480465503906901,0.9234612191346954,0.699073405324308,0.8099421950289026,0.858019549693158,0.6972006513996744,0.8943062264234435,0.8186539272019107,0.8313905505828345,0.6637261176958584,0.7064803733799067,0.956876017249593,0.8834768582615705,0.8560507647771557,0.9702980103956966
0.8399899160010083,0.7656012062404823,0.7328096599214489,0.7083439416687882,0.6580917974275393,0.8933472626715419,0.5928458778537633,0.8465126230231065,0.0,0.9191741717109602,0.7524301628645238,0.927247870899148,0.9488179923226991,0.49157784747335426,0.7253562038746714,0.7997057298970055,0.8393736518120954,0.6738356347671268,0.7372342868617141,0.7469926493985298,0.7326496866324846,0.8720844616253386,0.6914764765905903,0.6649227162306788,0.6581759316351852,0.6944069083220724,0.8934151840122777,0.8408144920407246,0.8216559821655983,0.8114741622948326
0.6154475576828664,0.7654919179221713,0.8824187882418786,0.8754045813106869,0.9167553791888452,0.9186065755819728,0.9181100795275197,0.6400814719837056,0.9191741717109602,0.0,0.905943690594369,0.3167357608575167,0.7003599700359967,0.9153109788277445,0.9455988836796653,0.9110024733007424,0.9457818864454717,0.8855664828349723,0.8526196,0.75513646327047,0.8859378999999998,0.8038736509684127,0.8046116316140712,0.8788321757664351,0.8338754750813211,0.854145963536491,0.8493738849373886,0.8000828000000004,0.7454435872721797,0.9468714920307238
