Sample ID,Alpha Diversity (Shannon Index)
FB126,3.533027433969557
FB128,3.4968581511713586
FB132,3.7306392047812134
FB134,3.518771557407358
FB135,2.6289834809089947
FB137,3.8837667646220213
FB140,2.9496649790494303
FB143,3.3530367312379576
FB145,3.1505167039136808
FB147,3.189927497014942
FB150,3.5458970174157907
FB151,2.9765824749131076
FB152,3.71270537521096
FB155,3.123049760890294
FB156,3.472236344612336
FB158,3.2149541723724635
FB159,3.7341115296564618
FB161,2.4080423018584285
FB163,2.418371201120834
FB164,2.9330633655331546
FB166,2.5014375316413346
FB167,2.9365164692783337
FB168,3.225929051336709
FB169,3.607217632940039
FB174,3.003740044576918
FB175,3.3201343126004814
FB176,3.4091424989586647
FB177,2.828847822211618
FB178,3.2379907707176643
FB180,3.4106685121772866
FB185,1.2805098707934461
FB186,0.5842852106237186
FB187,1.7556280695299264
FB188,1.7095131513354649
FB190,3.1772904449511037
FB193,3.2170400178050356
FB194,2.9138872054962257
FB196,2.2396555251866928
FB200,2.3838383596299497
FB204,1.9560516863874737
FB206,2.5128295394284774
FB207,2.7877553068571133
FB211,0.9055292447812674
FB217,2.449853364282303
FB219,2.6070931810297546
FB220,3.664563508451753
FB221,2.6367656774033925
FB223,3.4478921052288145
FB224,2.7755870363745814
FB225,3.6684900955024795
FB229,2.9222034737128224
FB232,2.9087521545992017
FB237,3.468813340055293
FB239,2.010308200165087
FB240,3.3389065003212917
FB242,3.312857368253425
FB244,2.9776055534047057
FB246,3.099100364338798
FB247,3.1148643898088726
FB253,0.8491569930323433
FB255,2.65984047568759
FB259,2.7831687869033677
FB262,2.7726654768064534
FB267,3.4702794213670103
FB275,3.5520756822192787
FB276,0.376938352501109
FB277,3.510594053359588
FB280,3.318415040818563
FB282,2.842859587297159
FB285,2.5952720403418175
FB290,3.0805380423344007
FB294,3.409984147166022
FB295,2.949325880683512
FB299,2.573506474416011
FB300,2.8348896368429837
FB301,3.512202561999742
FB306,3.425544480220416
FB307,2.9207213548915965
FB308,3.0594185322822476
FB310,3.240231696447508
FB311,3.466940786381885
FB312,2.457905296189212
FB313,3.3819443411711774
FB315,3.0520637393574215
FB318,3.0366125518236986
FB319,2.8173150675406076
FB320,3.248021940842563
FB321,3.372268303019418
FB323,3.337741445169079
FB325,2.4629957002655014
FB332,2.9211723168993977
FB334,3.0172989000527313
FB336,2.0118649918730065
FB338,2.611430207914803
FB344,3.616980111032985
FB345,3.724333153759728
FB347,2.6741274466206795
FB348,1.8968086067930823
FB350,2.9816249399916805
FB351,2.6330467353760336
FB354,2.6983872513010843
FB355,3.1714599679342714
FB356,3.110990292226302
FB357,3.0865619873185364
FB359,3.1781747921238055
FB360,3.281651614371361
FB361,2.830161447636364
FB363,3.003912726191391
FB367,2.48947309408786
FB369,3.1094979873804696
FB370,1.0761119942177875
FB371,2.85577921589997
FB374,2.6883452017200833
FB379,1.2375853702893613
FB383,3.7547887263094992
FB384,3.036679720395261
FB385,3.1495198885333235
FB390,3.2076858592694
FB393,3.0562612056440237
FB394,3.3026068439159926
FB398,2.8007106717265033
FB399,2.7003294336901917
FB400,2.7909512139823938
FB402,2.7196245977437687
FB404,2.947717058489
FB408,2.5070206761204976
FB409,3.1842243595165844
FB410,3.357721911072608
FB411,2.709079286022835
FB412,3.142241895852618
FB413,2.612836861124934
FB414,3.3747261545754546
FB420,2.9269144427747262
FB422,3.363516168991374
FB423,2.422941457126161
FB424,1.9669447818717334
FB432,3.020377675382089
FB433,3.028491887815167
FB438,3.3376703495438176
FB439,2.3808732070128045
FB441,3.891148977624713
FB442,3.219896240017282
FB443,3.5608654649881357
FB444,3.4011130368834728
FB446,3.303342416068152
FB448,2.545725048304121
