Sample ID,Alpha Diversity (Shannon Index)
DC002,3.4511738344508953
DC003,3.3858698942981196
DC004,2.8346244787099475
DC011,2.483439843227914
DC012,3.522842316018188
DC090,3.4113117184854556
FB026,1.7029435708933305
FB074,3.2621866142786042
FB076,1.0166355974062695
FB079,3.652246474854635
FB131,3.6421542105241236
FB133,3.0461964571614315
FB144,3.5213679668345335
FB170,2.720168564163103
FB199,3.4653132635462014
FB266,3.5549203038914965
FB291,3.03036483241151
FB331,2.0096662142754202
FB340,3.3608705371069094
FB375,3.2292824239884794
FB376,3.2373981179922557
FB380,3.0213957587895637
FB386,2.967024984513276
FB389,3.4280801097508693
FB391,2.770906142112275
FB418,3.1357250551580984
FB427,3.321771041275317
FB430,3.3863350374903454
FB437,1.5789560209249522
FB445,3.3005676472929393
