DC081,DC082,DC092,DC093,DC094,FB043,FB048,FB058,FB084,FB095,FB108,FB113,FB121,FB125,FB145,FB147,FB152,FB155,FB177,FB178,FB186,FB188,FB240,FB334,FB363,FB374,FB379,FB386,FB408,FB445
0.0,0.44119910000000007,0.6816095999999997,0.9041001999999998,0.873878225224355,0.6509385174530737,0.8692182000000002,0.8596867929843397,0.8291813256228009,0.7182717704320576,0.877560293878015,0.6777411194352798,0.8601078930053947,0.9023520097647992,0.6850584314941571,0.7594357639153644,0.7017555999999999,0.7298235135088248,0.7976603000000002,0.7810060999999998,0.9787050989352548,0.9772578977257899,0.7274779591216939,0.8273757258936408,0.8238389911919503,0.895586110441389,0.8799241120075892,0.7465307619796148,0.8368201326359737,0.6242129187893538
0.44119910000000007,0.0,0.7285555728555569,0.8877312887731288,0.8257714174228584,0.7761351888067592,0.9338812933881294,0.8052012707801905,0.8356579082171047,0.7413417387987391,0.8651396797709524,0.7156822004887697,0.8659432798914921,0.8273172000000003,0.7865908000000005,0.8235579558894887,0.7241355724135567,0.8196795909839798,0.7677016767701673,0.7581539758153972,0.992525498878825,0.9932669986533997,0.6774197193549301,0.6497396175130191,0.8287974743196213,0.8885336000000004,0.9356023999999996,0.712063828015957,0.8144728185527181,0.6934277846713892
0.6816095999999997,0.7285555728555569,0.0,0.7374694737469475,0.6545086345491367,0.7335603866780189,0.8905236890523685,0.8104360715654111,0.8233436088328194,0.7273732408940136,0.8465025769753871,0.7778212222374273,0.8894783834217568,0.8607475,0.7771718999999999,0.782215345553836,0.7882590788259075,0.7261541863077093,0.8811700881170091,0.835086383508639,0.9914860987229148,0.9921219984243996,0.6869481217370303,0.8528736073563195,0.7142208571331284,0.8970368000000002,0.8531791999999997,0.8055956513989125,0.8169011183098883,0.676113983805699
0.9041001999999998,0.8877312887731288,0.7374694737469475,0.0,0.4466288553371145,0.9067426953371346,0.8772304877230488,0.8873242830986425,0.8828047058597646,0.8589596211560567,0.8547908782186319,0.8847985596794962,0.9007911851186778,0.8735907000000004,0.8264739999999996,0.8641525660381414,0.8871064887106487,0.9278475963923798,0.9082434908243491,0.8562998856299886,0.9801834970275245,0.9084088816817764,0.827206856801714,0.8544847072757644,0.8927769839165475,0.8724141999999999,0.9604558,0.8696141674035417,0.8315252168474785,0.8361076918053841
0.873878225224355,0.8257714174228584,0.6545086345491367,0.4466288553371145,0.0,0.8890292166456178,0.9306111069388896,0.8316002084199895,0.8247355438161145,0.8233209618376632,0.839748908012555,0.8384832757724914,0.9193959040302047,0.8592438281512342,0.7742198451560308,0.8038599901929994,0.834714516528548,0.8760629185905624,0.9193121080687895,0.8707530129246988,0.9969237001538148,0.9974395999999999,0.7442005872100294,0.8023244494188874,0.7137850143107493,0.8739144252171152,0.9258177148364573,0.7404581870229092,0.7890987632703708,0.7637162354425645
0.6509385174530737,0.7761351888067592,0.7335603866780189,0.9067426953371346,0.8890292166456178,0.0,0.8239536911976846,0.9280974928097491,0.7966602203339784,0.7213722557255485,0.8171315817131581,0.7168328150498441,0.6912136691213672,0.9298825035058746,0.6492263175386845,0.7083439416687882,0.7161532858076645,0.6808199,0.6744842837242142,0.665596383279819,0.9993569999356999,0.99991119998668,0.8086612617322523,0.8671270132872989,0.8055048805504877,0.8387730080613496,0.6329577183521143,0.8053607610721523,0.8543145218528218,0.5605140999999998
0.8692182000000002,0.9338812933881294,0.8905236890523685,0.8772304877230488,0.9306111069388896,0.8239536911976846,0.0,0.9251951887792782,0.9109691044515452,0.7722396341640547,0.9248391887258781,0.8276196396668737,0.7973394696009203,0.9645856999999997,0.8208918999999997,0.8751701687925423,0.8562517856251788,0.7390541869527093,0.7602065760206572,0.726190972619097,0.9795404969310746,0.9002359800471958,0.9129209782302443,0.9288253035587347,0.8499288774893314,0.8977686999999995,0.8524204999999997,0.8682463670615921,0.9582898041710196,0.8537023926851196
0.8596867929843397,0.8052012707801905,0.8104360715654111,0.8873242830986425,0.8316002084199895,0.9280974928097491,0.9251951887792782,0.0,0.8650665000000001,0.8685723131427687,0.8740416748083348,0.8766641506656603,0.925105185021037,0.8527173926358699,0.8779260938963047,0.8698610609583184,0.8774376816156524,0.9077102907710289,0.8887162833074426,0.8515426777314017,0.9999616999923401,0.9999111999778,0.6282163884649166,0.8183353999999997,0.9084741816948367,0.9645701982285098,0.9651494982574749,0.7983679395103819,0.8371868081406598,0.8181272818127282
0.8291813256228009,0.8356579082171047,0.8233436088328194,0.8828047058597646,0.8247355438161145,0.7966602203339784,0.9109691044515452,0.8650665000000001,0.0,0.7654759703572089,0.5890548000000008,0.8282748656549727,0.6789196000000001,0.622592156611177,0.900659714901043,0.45800424580042437,0.830887908455605,0.7197719280228074,0.6513684174315795,0.6581211170939435,0.998537,0.9998229999911501,0.7689891768989179,0.8368089326382138,0.8446626000000002,0.7948755307686701,0.9552107067183937,0.8073314807331481,0.8306576423355899,0.822598617740138
0.7182717704320576,0.7413417387987391,0.7273732408940136,0.8589596211560567,0.8233209618376632,0.7213722557255485,0.7722396341640547,0.8685723131427687,0.7654759703572089,0.0,0.7625697237430278,0.7067140706714063,0.7164524283547566,0.9193082201729451,0.774833756291561,0.6014295999999999,0.7325643401153492,0.5141934971613003,0.6763397485490374,0.6352000547199914,0.99939530006047,1.0,0.8082756,0.8173789547863135,0.7679827232017278,0.8066247483438127,0.7635194591201356,0.7889298,0.8295412596605591,0.7035205592958881
