Sample ID,Alpha Diversity (Shannon Index)
DC001,2.5199073624630786
DC002,3.4511738344508953
DC003,3.3858698942981196
DC004,2.8346244787099475
DC005,3.2903957627172904
DC006,2.5602290703539357
DC007,3.2502920476583195
DC008,2.995648370672038
DC009,3.010167758384006
DC010,3.29715905546874
DC011,2.483439843227914
DC012,3.522842316018188
DC013,3.0213341491215595
DC014,2.891474875516255
DC015,2.346119537336824
DC016,3.024525043777218
DC017,1.7467624326684168
DC018,1.905161899533827
DC019,0.0
DC020,2.1227237198530338
DC021,2.305167019937855
DC022,3.3428057102811737
DC024,3.511142109971063
DC025,3.499772655146459
DC026,3.4281400010579213
DC027,2.72438163073632
DC028,3.28454351465901
DC029,3.049016124976869
DC030,3.137581564514304
DC031,2.826604120379871
DC032,3.060486960419364
DC033,3.16190788815787
DC034,2.739269328105095
DC035,2.1142239616103224
DC036,2.6380410417722557
DC037,2.857649596475144
DC038,2.804483157208017
DC039,2.687148851419158
DC040,2.452060149761877
DC041,2.8718008587992463
DC042,3.1134307930433334
DC043,2.4175807784402767
DC044,2.925922979244435
DC045,2.747897333070352
DC046,3.195703585637619
DC047,3.3618179139769904
DC048,2.8589793230910137
DC049,3.228916434214386
DC050,3.3847943124464335
DC051,3.2462843912528894
DC052,2.916366254162396
DC054,3.234745559405818
DC055,3.479978719028077
DC056,3.534488579272457
DC057,3.306309149258389
DC058,3.8299440289878595
DC059,3.5460114526370727
DC060,3.4128122323479353
DC061,2.7188204115706602
DC062,3.5419293810216685
DC063,3.237781842093839
DC064,3.3609886874587964
DC071,3.4806362888930193
DC072,3.7307850054002083
DC073,3.46689181363585
DC074,3.589963320373545
DC075,3.00336751112782
DC076,3.565709886052861
DC077,3.6513416585570457
DC079,3.5265073134188336
DC084,2.918237116890145
DC085,1.6583907292449402
DC086,2.6827548184631587
DC087,2.693590536790078
DC088,3.3350324689129276
DC089,3.3390945283754383
DC090,3.4113117184854556
DC091,3.6325315528124187
DC095,2.8612516753259194
DC096,3.080490336724764
DC099,3.110932420907263
DC102,2.758802714620231
FB002,3.0208163485319908
FB003,2.4611770321549664
FB004,2.3069890802189468
FB009,3.1950612772854554
FB014,2.669814449749615
FB015,3.3572984916445625
FB018,1.4534282004718957
FB026,1.7029435708933305
FB031,2.686337358302933
FB033,2.2205545569086995
FB034,2.7211195362946463
FB037,1.7215940508220555
FB039,2.578818511373907
FB040,2.2395289017297366
FB041,2.490751548743751
FB049,3.3338381768282477
FB053,0.6780982129374733
FB054,2.293671594453953
FB057,1.5403784628393407
FB059,1.3638065110549826
FB061,1.8920934662611504
FB062,0.8220181629482923
FB063,2.4349628304778714
FB064,2.4974472997756325
FB072,2.9110137325705443
FB074,3.2621866142786042
FB076,1.0166355974062695
FB077,2.7182189278071793
FB079,3.652246474854635
FB082,3.013540397263029
FB086,3.526899031058509
FB088,3.1803287586177715
FB089,3.3259928429921564
FB096,2.6503490541706918
FB097,3.4070510316058726
FB103,3.3307876535152703
FB105,0.8604534588384471
FB106,2.6204478676288
FB109,3.575772442460789
FB110,3.616514068991538
FB111,2.5376291307969323
FB114,3.893893368110883
FB124,2.510307887357606
FB126,3.533027433969557
FB128,3.4968581511713586
FB130,3.670967595855905
FB131,3.6421542105241236
FB133,3.0461964571614315
FB134,3.518771557407358
FB137,3.8837667646220213
FB139,3.8800475739760136
FB143,3.3530367312379576
FB144,3.5213679668345335
FB146,3.747785608538017
FB150,3.5458970174157907
FB156,3.472236344612336
FB158,3.2149541723724635
FB159,3.7341115296564618
FB161,2.4080423018584285
FB163,2.418371201120834
FB165,3.4968680802243086
FB166,2.5014375316413346
FB167,2.9365164692783337
FB169,3.607217632940039
FB170,2.720168564163103
FB171,3.513192536387899
FB173,2.775086277425568
FB174,3.003740044576918
FB180,3.4106685121772866
FB190,3.1772904449511037
FB192,2.20863198825321
FB194,2.9138872054962257
FB196,2.2396555251866928
FB199,3.4653132635462014
FB201,3.2944615539409723
FB206,2.5128295394284774
FB207,2.7877553068571133
FB213,3.389180086026147
FB217,2.449853364282303
FB219,2.6070931810297546
FB220,3.664563508451753
FB221,2.6367656774033925
FB223,3.4478921052288145
FB224,2.7755870363745814
FB225,3.6684900955024795
FB227,3.2910832480902066
FB229,2.9222034737128224
FB232,2.9087521545992017
FB237,3.468813340055293
FB239,2.010308200165087
FB242,3.312857368253425
FB244,2.9776055534047057
FB246,3.099100364338798
FB247,3.1148643898088726
FB253,0.8491569930323433
FB255,2.65984047568759
FB262,2.7726654768064534
FB266,3.5549203038914965
FB267,3.4702794213670103
FB275,3.5520756822192787
FB277,3.510594053359588
FB280,3.318415040818563
FB282,2.842859587297159
FB285,2.5952720403418175
FB290,3.0805380423344007
FB291,3.03036483241151
FB294,3.409984147166022
FB295,2.949325880683512
FB299,2.573506474416011
FB300,2.8348896368429837
FB301,3.512202561999742
FB302,3.4358878215604802
FB306,3.425544480220416
FB307,2.9207213548915965
FB308,3.0594185322822476
FB310,3.240231696447508
FB311,3.466940786381885
FB312,2.457905296189212
FB313,3.3819443411711774
FB314,3.334283484040341
FB315,3.0520637393574215
FB318,3.0366125518236986
FB319,2.8173150675406076
FB320,3.248021940842563
FB321,3.372268303019418
FB323,3.337741445169079
FB325,2.4629957002655014
FB332,2.9211723168993977
FB336,2.0118649918730065
FB338,2.611430207914803
FB340,3.3608705371069094
FB341,3.2029256526830627
FB344,3.616980111032985
FB345,3.724333153759728
FB347,2.6741274466206795
FB348,1.8968086067930823
FB350,2.9816249399916805
FB351,2.6330467353760336
FB353,3.017856655099884
FB354,2.6983872513010843
FB355,3.1714599679342714
FB356,3.110990292226302
FB357,3.0865619873185364
FB359,3.1781747921238055
FB360,3.281651614371361
FB361,2.830161447636364
FB367,2.48947309408786
FB369,3.1094979873804696
FB370,1.0761119942177875
FB375,3.2292824239884794
FB376,3.2373981179922557
FB380,3.0213957587895637
FB383,3.7547887263094992
FB384,3.036679720395261
FB385,3.1495198885333235
FB389,3.4280801097508693
FB391,2.770906142112275
FB393,3.0562612056440237
FB394,3.3026068439159926
FB398,2.8007106717265033
FB399,2.7003294336901917
FB400,2.7909512139823938
FB402,2.7196245977437687
FB404,2.947717058489
FB409,3.1842243595165844
FB410,3.357721911072608
FB411,2.709079286022835
FB413,2.612836861124934
FB414,3.3747261545754546
FB418,3.1357250551580984
FB420,2.9269144427747262
FB422,3.363516168991374
FB427,3.321771041275317
FB430,3.3863350374903454
FB432,3.020377675382089
FB433,3.028491887815167
FB435,2.0029504382210126
FB437,1.5789560209249522
FB438,3.3376703495438176
FB441,3.891148977624713
FB442,3.219896240017282
FB443,3.5608654649881357
FB444,3.4011130368834728
FB446,3.303342416068152
FB448,2.545725048304121
