Sample ID,Alpha Diversity (Shannon Index)
DC024,3.511142109971063
DC031,2.826604120379871
DC032,3.060486960419364
DC033,3.16190788815787
DC034,2.739269328105095
DC082,3.6044275289105556
DC083,3.6273804649709205
DC096,3.080490336724764
FB054,2.293671594453953
FB063,2.4349628304778714
FB079,3.652246474854635
FB091,2.004871971108294
FB114,3.893893368110883
FB171,3.513192536387899
FB193,3.2170400178050356
FB196,2.2396555251866928
FB219,2.6070931810297546
FB244,2.9776055534047057
FB291,3.03036483241151
FB295,2.949325880683512
FB318,3.0366125518236986
FB325,2.4629957002655014
FB348,1.8968086067930823
FB355,3.1714599679342714
FB367,2.48947309408786
FB382,1.376855917057961
FB384,3.036679720395261
FB385,3.1495198885333235
FB393,3.0562612056440237
FB414,3.3747261545754546
